Datetime,Open,High,Low,Close,orderId,ecs_limit_status,mc_status,cfc_limit_status,cc_limit_status,position_side_num,market_position,not_enough_money,EMAF_open,ATR_open_sign,ATR_open_sign_2,ATR_open_lim,EMAF_open_shift_1,ATR_open_sign_shift_1,ATR_open_lim_shift_1,EMAF_open_changes,open_factor,open_start_long,open_start_short,open_signal,open_signal_shift_1,last_signal,open_signal_price,last_signal_shift_1,market_position_shift_1,market_position_shift_2,open_signal_limit_price_Buy,open_signal_limit_price_Sell,open_signal_limit_price_Buy_close_pos,open_signal_limit_price_Sell_close_pos,orderId_shift_1,ecs_limit_status_shift_1,mc_status_shift_1,cfc_limit_status_shift_1,cc_limit_status_shift_1,position_size,position_side,open_limit_status
2025-03-06 01:00:00,0.959,0.9635,0.9552,0.9579,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-06 01:15:00,0.9579,0.9604,0.9523,0.956,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
2025-03-06 01:30:00,0.956,0.9624,0.9532,0.9605,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
2025-03-06 01:45:00,0.9605,0.9683,0.9581,0.9647,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
2025-03-06 02:00:00,0.9647,0.9655,0.9555,0.9562,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
2025-03-06 02:15:00,0.9562,0.9612,0.9541,0.9582,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
2025-03-06 02:30:00,0.9582,0.9589,0.9474,0.9477,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
2025-03-06 02:45:00,0.9477,0.9479,0.934,0.9425,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
2025-03-06 03:00:00,0.9425,0.9447,0.9358,0.9363,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
2025-03-06 03:15:00,0.9363,0.9428,0.9343,0.9426,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
2025-03-06 03:30:00,0.9426,0.943,0.9376,0.9379,,,,,,,0.0,,,,,0.009123169772243239,,,,,,,,,,,,,0.0,0.0,0.926952196273308,0.9488478037266919,0.932426098136654,0.9433739018633459,,,,,,,,
2025-03-06 03:45:00,0.9379,0.9427,0.9379,0.9409,,,,,,,0.0,,,,,0.008493144046458316,,,0.009123169772243239,,,,,,,,,,0.0,0.0,0.9307082271442499,0.95109177285575,0.935804113572125,0.9459958864278749,,,,,,,,
2025-03-06 04:00:00,0.9409,0.9482,0.9409,0.9479,,,,,,,0.0,,,,,0.008326868522712956,,,0.008493144046458316,,,,,,,,,,0.0,0.0,0.9379077577727444,0.9578922422272556,0.9429038788863722,0.9528961211136278,,,,,,,,
2025-03-06 04:15:00,0.9479,0.9481,0.94,0.9411,,,,,,,0.0,,,,,0.008296449584478432,,,0.008326868522712956,,,,,,,,,,0.0,0.0,0.931144260498626,0.9510557395013741,0.936122130249313,0.9460778697506871,,,,,,,,
2025-03-06 04:30:00,0.9411,0.9429,0.9359,0.9383,,,,,,,0.0,,,,,0.008128348486800238,,,0.008296449584478432,,,,,,,,,,0.0,0.0,0.9285459818158397,0.9480540181841604,0.9334229909079199,0.9431770090920801,,,,,,,,
