,folder,year,month,day,key,LastModified,date
0,companies_st_partner,2023,9,5,companies_st_partner/year=2023/month=9/5.csv,2023-09-06 01:00:31,2023-09-05
1,companies_st_partner,2023,9,6,companies_st_partner/year=2023/month=9/6.csv,2023-09-07 01:00:26,2023-09-06
2,companies_st_partner,2023,9,7,companies_st_partner/year=2023/month=9/7.csv,2023-09-08 01:00:30,2023-09-07
3,companies_st_partner,2023,9,8,companies_st_partner/year=2023/month=9/8.csv,2023-09-09 01:00:18,2023-09-08
4,companies_st_partner,2023,9,9,companies_st_partner/year=2023/month=9/9.csv,2023-09-10 01:00:38,2023-09-09
5,companies_st_partner,2023,9,10,companies_st_partner/year=2023/month=9/10.csv,2023-09-11 01:00:22,2023-09-10
6,companies_st_partner,2023,9,11,companies_st_partner/year=2023/month=9/11.csv,2023-09-12 01:00:28,2023-09-11
7,companies_st_partner,2023,9,12,companies_st_partner/year=2023/month=9/12.csv,2023-09-13 01:01:26,2023-09-12
8,companies_st_partner,2023,9,13,companies_st_partner/year=2023/month=9/13.csv,2023-09-14 01:00:40,2023-09-13
9,companies_st_partner,2023,9,14,companies_st_partner/year=2023/month=9/14.csv,2023-09-15 01:00:31,2023-09-14
10,companies_st_partner,2023,9,15,companies_st_partner/year=2023/month=9/15.csv,2023-09-16 01:00:42,2023-09-15
11,companies_st_partner,2023,9,16,companies_st_partner/year=2023/month=9/16.csv,2023-09-17 01:00:23,2023-09-16
12,companies_st_partner,2023,9,17,companies_st_partner/year=2023/month=9/17.csv,2023-09-18 01:00:24,2023-09-17
13,companies_st_partner,2023,9,18,companies_st_partner/year=2023/month=9/18.csv,2023-09-19 01:00:42,2023-09-18
14,companies_st_partner,2023,9,19,companies_st_partner/year=2023/month=9/19.csv,2023-09-20 01:00:21,2023-09-19
15,companies_st_partner,2023,9,20,companies_st_partner/year=2023/month=9/20.csv,2023-09-21 01:01:08,2023-09-20
16,companies_st_partner,2023,9,21,companies_st_partner/year=2023/month=9/21.csv,2023-09-22 01:00:23,2023-09-21
17,companies_st_partner,2023,8,6,companies_st_partner/year=2023/month=8/6.csv,2023-09-22 16:13:35,2023-08-06
